canonical_path,source_file,status,note
"assets/raid/player/raid-player-main-idle.png","별빛_꼬리를_가진_마법_여우_마스코트.png","included","confirmed master"
"assets/raid/player/raid-player-main-attack.png","별빛_돌진_여우_마스코트.png","included","confirmed"
"assets/raid/player/raid-player-main-critical.png","a_vibrant_high_energy_anime_chibi_fantasy_illustr.png","included","confirmed critical-generation output"
"assets/raid/player/raid-player-main-hit.png","a_vibrant_high_quality_anime_chibi_digital_illust.png","included","confirmed hit-generation output"
"assets/raid/player/raid-player-main-shield.png","a_bright_ultra_cute_high_detail_chibi_anime_gam.png","included","confirmed shield-generation output"
"assets/raid/player/raid-player-main-down.png","쓰러진_별여우_마스코트.png","included","confirmed"
"assets/raid/player/raid-player-main-revive.png","별빛_에너지의_황금_여우_비상.png","included","revive-state visual selected from approved 3-output batch"
"assets/raid/player/raid-player-main-special.png","별빛_질주하는_여우_마스코트.png","included","special/action visual selected from approved set"
"assets/raid/common/raid-common-idle.png","민트_잎사귀_숲속_정령_몬스터.png","included","confirmed master"
"assets/raid/common/raid-common-attack.png","민트_물잎_정령의_깜짝_반격_자세.png","included","confirmed"
"assets/raid/common/raid-common-hit.png","민트빛_잎사귀_여우_정령.png","included","approved COMMON state output"
"assets/raid/common/raid-common-clear.png","민트_잎정령의_해피_클리어_포즈.png","included","confirmed"
"assets/raid/elite/raid-elite-idle.png","평온한_숲의_여우사슴_수호자.png","included","confirmed master"
"assets/raid/elite/raid-elite-attack.png","숲의_여우령_질풍의_돌진.png","included","confirmed"
"assets/raid/elite/raid-elite-hit.png","타격에_휘말린_숲의_엘프_여우.png","included","confirmed"
"assets/raid/elite/raid-elite-guard.png","수호의_잎빛_방벽_furry.png","included","confirmed"
"assets/raid/elite/raid-elite-clear.png","민트빛_잎사귀_수호령_여우사슴.png","included","selected clear/rest variant from approved ELITE family"
"assets/raid/boss/raid-boss-idle.png","보이드_크림슨_드래곤_보스.png","included","confirmed final boss family"
"assets/raid/boss/raid-boss-attack.png","보랏빛_마룡_보스의_공중_강습.png","included","confirmed"
"assets/raid/boss/raid-boss-hit.png","보랏빛_충격에_휘청이는_용왕.png","included","confirmed"
"assets/raid/boss/raid-boss-guard.png","a_dynamic_high_quality_anime_game_style_illustrat.png","included","confirmed guard individual"
"assets/raid/boss/raid-boss-heavy-charge.png","epic_fantasy_game_style_digital_illustration_a_dr.png","included","confirmed heavy-charge family"
"assets/raid/boss/raid-boss-clear.png","a_clean_high_resolution_anime_style_game_asset_s.png","included","best available clear/defeat source; review crop/selection before final WebP"
"assets/raid/fx/raid-fx-hit-normal.png","푸른_황금_마법_충격파.png","included","confirmed"
"assets/raid/fx/raid-fx-hit-weak.png","약한_타격의_청금빛_마법_임팩트.png","included","confirmed"
"assets/raid/fx/raid-fx-hit-critical.png","푸른빛_황금_크리티컬_히트_폭발.png","included","confirmed"
"assets/raid/fx/raid-fx-shield.png","황금_별_문장의_마법_방어막.png","included","confirmed"
"assets/raid/fx/raid-fx-guard.png","청금빛_수호_방패_폭발_효과.png","included","confirmed"
"assets/raid/fx/raid-fx-guard-break.png","산산조각_난_별빛_방벽.png","included","confirmed"
"assets/raid/fx/raid-fx-perfect-break.png","a_clean_high_resolution_game_style_special_effect.png","included","confirmed generated perfect-break style"
"assets/raid/fx/raid-fx-player-hit.png","a_crisp_high_resolution_game_art_style_fantasy_e.png","included","confirmed generated player-hit style"
"assets/raid/fx/raid-fx-heavy-hit.png","푸른빛과_황금빛의_마법_폭발_효과.png","included","confirmed heavy-impact family"
"assets/raid/fx/raid-fx-heavy-charge.png","a_dramatic_high_energy_fantasy_magical_effect_ill.png","included","confirmed charge-family output"
"assets/raid/fx/raid-fx-heavy-cancel.png","a_high_resolution_digital_fantasy_sci_fi_energy_ef.png","included","confirmed cancel-family output"
